USA,123,66591,286288,738,8677576,5875262,26160,44719,863,204293263,615650,331833330,unsafe,unsafe
India,9636741,28323,140072,336,9091334,405335,8944,6954,101,145885512,105272,1385789833,safe,unsafe
Brazil,6536245,1294,175990,9,5744369,615886,8318,30657,825,25700000,120541,213205332,safe,unsafe
Russia,2431731,28782,42684,508,1916396,472651,2300,16660,292,78777839,539717,145961371,unsafe,unsafe
France,2268552,5555,54767,11231,168352,2045433,3293,34722,838,20879180,319569,65335525,unsafe,unsafe
Italy,1709991,21052,59514,662,896308,754169,3517,28300,985,22962114,380019,60423533,unsafe,unsafe
UK,1705971,15539,61014,397,12345,12345,1274,25074,897,44812139,658627,68038710,unsafe,unsafe
Spain,1699145,21231,46252,5456,12345,12345,2371,36336,989,22992742,491691,46762566,unsafe,unsafe
Argentina,1454631,54123,39512,5651,1281955,133164,3929,32060,871,4055795,89388,45372728,unsafe,unsafe
Colombia,1352607,23,37467,1151,1240990,74150,2376,26463,733,6649697,130095,51113975,safe,unsafe
Germany,1159179,6896,18814,123,835700,304665,4011,13816,224,29141172,347337,83898867,safe,unsafe
Mexico,1156770,12127,108863,690,852719,195188,3377,8932,841,2977002,22987,129510020,unsafe,unsafe
Poland,1054273,12430,19861,502,687910,346502,1906,27870,525,6432494,170042,37828763,unsafe,unsafe
Iran,1028986,12151,50016,321,719708,259262,5817,12185,592,6342628,75105,84450095,unsafe,unsafe
Peru,970860,54541,36195,15154,903958,30707,965,29272,1091,5136390,154865,33166949,unsafe,unsafe
South Africa,805804,151,21963,5461,740450,43391,546,13514,368,5534084,92812,59626717,safe,unsafe
Ukraine,801716,13825,13421,226,412533,375762,177,18379,308,4702234,107800,43620167,unsafe,unsafe
Turkey,797893,31896,14705,196,427242,355946,5800,9417,174,19517084,230356,84725715,unsafe,unsafe
Belgium,587439,2582,17142,109,38858,531439,789,50592,1476,6046837,520775,11611238,safe,unsafe
Indonesia,569707,6027,17589,110,470449,81669,1516,2074,64,5981908,21772,274756096,unsafe,unsafe
Iraq,562520,1898,12411,24,491657,58452,239,13854,306,3639831,89645,40602673,safe,unsafe
Chile,558668,1533,15592,34,531543,11533,664,29118,813,5495597,286434,19186253,safe,unsafe
Netherlands,550445,6521,9662,39,12345,12345,486,32094,563,4043482,235756,17151150,unsafe,unsafe
Czechia,544112,1706,8782,44,474167,61163,586,50768,819,3174461,296194,10717514,safe,unsafe
Romania,508345,8072,12186,134,399207,96952,1280,26501,635,4237925,220930,19182177,unsafe,unsafe
Bangladesh,475789,1888,6807,35,393408,75574,54613,2877,41,2849951,17232,165388942,safe,unsafe
Philippines,438069,1724,8526,17,399582,29961,1401,3975,77,5942296,53922,110200964,saffe,unsafe
Pakistan,413191,3119,8303,43,352529,52359,2441,1855,37,5713341,25654,222704447,safe,unsafe
Canada,406462,3893,12564,68,323001,70897,530,10729,332,11826099,312171,37883401,safe,unsafe
Morocco,376738,4118,6184,48,327693,42861,960,10156,167,4058751,109410,37096761,safe,unsafe
Saudi Arabia,358526,190,5954,14,348562,4010,603,10231,170,9830703,280526,35043802,safe,unsafe
Switzerland,344497,5161,5314,21,260600,78583,479,39681,612,2836245,326693,8681673,unsafe,unsafe
Israel,343665,1564,2901,5,327710,13054,314,37365,315,5605071,609406,9197590,safe,unsafe
Portugal,318640,6087,4876,73,240203,73561,517,31289,479,4722013,463675,10183888,unsafe,unsafe
Austria,300689,3444,3757,106,249441,47491,646,33305,416,3229393,357693,9028394,safe,unsafe
Sweden,278912,5431,7067,5431,12345,12345,249,27544,698,3457247,341416,10126207,unsafe,unsafe
Hungary,243581,5525,5706,193,70396,167479,637,25242,591,1918043,198766,9649776,unsafe,unsafe
Nepal,239885,1024,1577,10,224053,14255,5431,8171,54,1778024,60562,29358529,safe,unsafe
Jordan,237513,3160,3010,50,182463,52040,406,23180,294,2667541,260341,10246322,safe,unsafe
Serbia,213843,6903,1891,57,31536,180416,279,24517,217,1885460,216168,8722180,unsafe,unsafe
Ecuador,197391,909,13756,60,169804,13831,356,11116,775,669871,37725,17756714,safe,unsafe
UAE,175276,1214,589,3,158498,16189,5431,17631,59,17323578,1742596,9941250,safe,unsafe
Panama,173607,5431,3154,5431,150051,20402,161,39969,726,955664,220018,4343567,unsafe,unsafe
Bulgaria,158807,5431,4650,5431,59677,94480,504,22930,671,1009397,145744,6925803,unsafe,unsafe
Georgia,158154,5450,1462,37,129210,27482,5431,39679,367,1586536,398040,3985868,unsafe,unsafe
Japan,157674,2442,2283,43,133443,21948,520,1248,18,3715130,29413,126309474,safe,unsafe
Dominican Republic,147655,975,2345,2,116329,28981,185,13553,215,746654,68536,10894288,safe,unsafe
Croatia,147454,4084,2102,70,120857,24495,259,36014,513,801545,195770,4094320,safe,unsafe
Bolivia,145325,139,8987,5,124390,11948,71,12378,765,367150,31272,11740674,safe,unsafe
Belarus,145279,1896,1198,8,122339,21742,5431,15377,127,3398759,359734,9447986,safe,unsafe
Kuwait,143917,5431,886,5431,139148,3883,84,33490,206,1130744,263124,4297376,unsafe,unsafe
Costa Rica,143685,5431,1773,5431,95789,46123,212,28097,347,404440,79085,5113966,unsafe,unsafe
Azerbaijan,142323,4323,1593,42,85980,54750,5431,13983,157,1817804,178598,10178176,safe,unsafe
Armenia,140959,1267,2309,32,116066,22584,5431,47531,779,526148,177416,2965622,safe,unsafe
Qatar,139783,140,239,5431,137060,2484,36,49784,85,1133075,403545,2807805,safe,unsafe
Kazakhstan,135498,792,2034,5431,119419,14045,221,7180,108,4206738,222906,18872287,safe,unsafe
Lebanon,134295,5431,1078,5431,86019,47198,374,19714,158,1672623,245532,6812247,unsafe,unsafe
Guatemala,125352,547,4239,15,113870,7243,5,6943,235,555213,30750,18055711,safe,unsafe
Oman,124329,5431,1435,5431,115866,7028,106,24089,278,571472,110725,5161164,unsafe,unsafe
Egypt,117583,5431,6732,5431,103191,7660,46,1140,65,1000000,9695,103150307,unsafe,unsafe
Moldova,115557,1728,2403,19,99606,13548,269,28675,596,480248,119171,4029922,safe,unsafe
Slovakia,115462,2070,981,24,79956,34525,246,21144,180,1127916,206549,5460779,safe,unsafe
Greece,114568,1383,2902,98,9989,101677,594,11015,279,2469947,237471,10401063,safe,unsafe
Ethiopia,112740,649,1745,11,79579,31416,317,971,15,1664375,14328,116160214,safe,unsafe
Honduras,109760,5431,2938,5431,48953,57869,121,11007,295,271223,27200,9971392,unsafe,unsafe
Venezuela,103877,5431,913,5431,98879,4085,117,3657,32,2317442,81597,28401198,unsafe,unsafe
Tunisia,101900,5431,3481,5431,75464,22955,299,8584,293,477656,40236,11871321,unsafe,unsafe
Myanmar,98047,1527,2081,22,76382,19584,5431,1797,38,1269824,23271,54565784,safe,unsafe
Palestine,96098,1422,812,15,71236,24050,69,18655,158,722951,140343,5151324,safe,unsafe
Bosnia and Herzegovina,93768,975,2922,57,58034,32812,5431,28658,893,435795,133189,3271995,safe,unsafe
Iceland,569707,250,17589,220,470449,600,1516,2074,64,5981908,21772,274756096,safe,safe
